"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","385","GET USER","chromium","Sat Oct 11 11:04:00 IST 2025","passed","Sat Oct 11 11:04:00 IST 2025","","TEST\api1.spec.js","",""
"","10486","swaglabs","chromium","Sat Oct 11 11:04:51 IST 2025","passed","Sat Oct 11 11:05:01 IST 2025","","TEST\swaglabs.spec.js","",""
"","39276","Airwallex","chromium","Sat Oct 11 11:04:00 IST 2025","broken","Sat Oct 11 11:04:39 IST 2025","","airwallex.spec.js","",""
"","41726","test","chromium","Sat Oct 11 11:04:00 IST 2025","broken","Sat Oct 11 11:04:41 IST 2025","","mycodegen.spec.js","",""
"","15546","git check","chromium","Sat Oct 11 11:04:43 IST 2025","passed","Sat Oct 11 11:04:59 IST 2025","","TEST\assertion.spec.js","",""
"","39947","radio button","chromium","Sat Oct 11 11:04:00 IST 2025","passed","Sat Oct 11 11:04:40 IST 2025","","TEST\assertion.spec.js","",""
"","256","CREATE USER","chromium","Sat Oct 11 11:04:00 IST 2025","failed","Sat Oct 11 11:04:01 IST 2025","","TEST\api1.spec.js","",""
"","19484","swaglabs","chromium","Sat Oct 11 11:04:49 IST 2025","passed","Sat Oct 11 11:05:08 IST 2025","","TEST\pom.spec.js","",""
"","6415","UPDATE USER","chromium","Sat Oct 11 11:04:25 IST 2025","failed","Sat Oct 11 11:04:31 IST 2025","","TEST\api1.spec.js","",""
"","1763","DELETE USER","chromium","Sat Oct 11 11:04:42 IST 2025","failed","Sat Oct 11 11:04:44 IST 2025","","TEST\api1.spec.js","",""
